epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.8082,2.22192,1.08683,1.31778,0.72159,0.6072,0.6458,0.25785,2.18522,1.0681,1.28067,0.000664583,0.000664583,0.000664583
2,148.515,2.0215,0.95755,1.21629,0.65325,0.61793,0.62708,0.25487,2.1593,1.07082,1.27363,0.00131807,0.00131807,0.00131807
3,222.666,1.99188,0.94861,1.21251,0.75327,0.62746,0.66909,0.27444,2.14864,1.04537,1.26854,0.00195836,0.00195836,0.00195836
